都道府県,店名,電話番号
東京,STARBUCKS RESERVE® ROASTERY TOKYO,+81 3-6417-0202
東京,コメダ珈琲店 新宿三丁目店,+81 362730440
東京,Caffice,+81 333561567
東京,梟書茶房 Ｅｓｏｌａ池袋店,+81 339711020
東京,文喫 六本木,+81 364389120
東京,アール座読書館,+81 333127941
東京,BLUE SIX COFFEE,+81 364347577
東京,10 DIXANS ディゾン人形町店,+81 368109025
東京,Q CAFE by RoyalGardenCafe,+81 362057206
東京,Allpress Espresso (オールプレス・エスプレッソ) 虎ノ門,+81 362733928
東京,KNAG,+81 368107762
東京,Streamer Coffee Company 新虎店,+81 364528715
東京,OPEN NAKAMEGURO,+81 5018611993
東京,5 CROSSTIES COFFEE 渋谷スクランブルスクエア,+81 8033944236
東京,GESHARY COFFEE 日比谷店,+81 335174153
東京,VERVE COFFEE ROASTERS ROPPONGI,+81 364275403
東京,リワードコーヒー 葛西駅前店,+81 358781808
東京,夏目坂珈琲,+81 362280100
東京,コメダ珈琲店新宿ファーストウェスト店,+81 359890585
